ds,yhat
2024-01-01,410.6826177439082
2024-01-02,413.6233971927521
2024-01-03,414.04279011163317
2024-01-04,410.23560324774996
2024-01-05,413.7287403490363
2024-01-06,416.51105809712084
2024-01-07,413.7412876236628
2024-01-08,410.57462116586777
2024-01-09,413.51540061471525
2024-01-10,413.9347935335955
2024-01-11,410.1276066697117
2024-01-12,413.6207437710018
2024-01-13,416.40306151908214
2024-01-14,413.6332910765066
2024-01-15,410.46662464959894
2024-01-16,413.4074041293307
2024-01-17,413.8267970790895
2024-01-18,410.0196102460929
2024-01-19,413.5127473782721
2024-01-20,416.2950651572331
2024-01-21,413.5252947146501
2024-01-22,410.3586282877508
2024-01-23,413.29940776748595
2024-01-24,413.7188007172507
2024-01-25,409.9116138844157
2024-01-26,413.40475101677043
2024-01-27,416.1870687959001
2024-01-28,413.41729835348673
2024-01-29,410.2506319267592
2024-01-30,413.19141140667307
2024-01-31,413.61080435660335
2024-02-01,409.80361752377047
2024-02-02,413.2967546561286
2024-02-03,416.07907243525335
2024-02-04,413.3093019928578
2024-02-05,410.14263556611166
2024-02-06,413.08341503616606
2024-02-07,413.5028079762302
2024-02-08,409.69562113353646
2024-02-09,413.1887582560139
2024-02-10,415.97107602529223
2024-02-11,413.2013055730304
2024-02-12,410.03463913643037
2024-02-13,412.9754186064818
2024-02-14,413.39481154654015
2024-02-15,409.5876247038495
2024-02-16,413.08076182633204
2024-02-17,415.8630795956068
2024-02-18,413.09330940882006
2024-02-19,409.9266432377025
2024-02-20,412.8674229732248
2024-02-21,413.2868161787699
2024-02-22,409.4796296015637
2024-02-23,412.97276698952965
2024-02-24,415.75508502428113
2024-02-25,412.98531483751066
2024-02-26,409.81864866637767
2024-02-27,412.75942840190334
2024-02-28,413.1788216074571
2024-02-29,409.37552410968266
2024-03-01,412.8725505770998
2024-03-02,415.65875769129326
2024-03-03,412.8928765839647
2024-03-04,409.73009949228043
2024-03-05,412.6747683072525
2024-03-06,413.0980505922548
2024-03-07,409.29475309448276
2024-03-08,412.79177956190057
2024-03-09,415.5779866760892
2024-03-10,412.8121055687598
2024-03-11,409.6493284770787
2024-03-12,412.59399728508953
2024-03-13,413.0172795631182
2024-03-14,409.2139820583846
2024-03-15,412.71100851884285
2024-03-16,415.49721562606476
2024-03-17,412.7313345117617
2024-03-18,409.568557413121
2024-03-19,412.5132262211354
2024-03-20,412.9365084991584
2024-03-21,409.1332109944292
2024-03-22,412.63023745489096
2024-03-23,415.41644667379194
2024-03-24,412.6505676711734
2024-03-25,409.48779268422055
2024-03-26,412.4324636039229
2024-03-27,412.85574799362405
2024-03-28,409.0524526005787
2024-03-29,412.54948117271
2024-03-30,415.33569039163046
2024-03-31,412.56981138900807
2024-04-01,409.4070364020552
2024-04-02,412.3517073217452
2024-04-03,412.7749917114687
2024-04-04,408.97169673684795
2024-04-05,412.46872572741523
2024-04-06,415.25493536476324
2024-04-07,412.48905678056985
2024-04-08,409.32628221205835
2024-04-09,412.27095355017786
2024-04-10,412.69423835833305
2024-04-11,408.8909433837118
2024-04-12,412.3879723742826
2024-04-13,415.17418201162724
2024-04-14,412.40830342745284
2024-04-15,409.24552885892
2024-04-16,412.1902001977233
2024-04-17,412.61348500655305
2024-04-18,408.810190032615
2024-04-19,412.30721902384977
2024-04-20,415.0934286618926
2024-04-21,412.32755007839097
2024-04-22,409.1647755105436
2024-04-23,412.1094468493535
2024-04-24,412.53273165817683
2024-04-25,408.729436684245
2024-04-26,412.22646567547923
2024-04-27,415.0126757772533
2024-04-28,412.2467976574842
2024-04-29,409.0840235533747
2024-04-30,412.02869535590713
2024-05-01,412.4519806284745
